Brand,Price,Condition,Currency
Avia,35.97,new,USD
Avia,24.87,new,USD
Avia,24.87,new,USD
Aerosoles,99.00,new,USD
Stuart Weitzman,169.99,new,USD
JC Play,65.00,new,USD
VistaBella,19.99,New,USD
PleaserUSA,55.95,new,USD
American Rag,33.54,new,USD
K-swiss,70.00,new,USD
Funtasma,39.95,new,USD
Steve Madden,103.00,new,USD
Rubie's,30.99,New with tags,USD
Rubie's,21.59,new,USD
Rubie's,19.99,new,USD
Legendary Whitetails,24.99,new,USD
DG Eyewear,10.95,New,USD
DG Eyewear,7.95,New with tags,USD
DG Eyewear,7.95,New,USD
DG Eyewear,7.45,New with tags,USD
DG Eyewear,6.95,New with tags,USD
DG Eyewear,8.25,New with tags,USD
DG Eyewear,14.99,New,USD
DG Eyewear,7.90,New with tags,USD
